Type, K, N, Mean, Variance
Relaxed,5,2000,162.042,10.3216
Relaxed,5,4000,198.911,13.3859
Relaxed,5,6000,223.994,16.4835
Relaxed,5,8000,242.257,16.004
Relaxed,5,10000,253.051,18.3272
Relaxed,5,12000,265.378,18.3092
Relaxed,5,14000,271.94,19.7079
Relaxed,5,16000,283.856,20.0319
Relaxed,5,18000,290.549,18.4045
Relaxed,5,20000,303.279,23.2525
Relaxed,5,22000,304.943,22.5662
Relaxed,5,24000,310.802,22.3154
Relaxed,5,26000,320.763,22.4017
Relaxed,5,28000,322.036,23.6334
Relaxed,5,30000,327.073,24.2373
Relaxed,5,32000,327.101,24.2451
Relaxed,5,34000,334.238,25.7783
Relaxed,5,36000,340.507,24.6489
Relaxed,5,38000,344.088,20.1852
Relaxed,5,40000,348.081,23.9751
Relaxed,5,42000,351.463,24.5381
Relaxed,5,44000,357.544,27.7868
Relaxed,5,46000,356.299,23.8809
Relaxed,5,48000,362.522,24.0495
Relaxed,5,50000,365.908,26.1024
Relaxed,5,52000,363.917,23.7129
Relaxed,5,54000,372.106,28.016
Relaxed,5,56000,374.639,25.4367
Relaxed,5,58000,372.197,27.5799
Relaxed,5,60000,374.843,27.064
Relaxed,5,62000,379.904,29.6636
Relaxed,5,64000,383.47,25.6409
Relaxed,5,66000,385.063,28.9233
Relaxed,5,68000,390.745,29.762
Relaxed,5,70000,390.862,25.7351
Relaxed,5,72000,394.22,27.32
Relaxed,5,74000,394.596,25.0618
Relaxed,5,76000,394.551,27.4531
Relaxed,5,78000,393.428,22.9851
Relaxed,5,80000,394.858,22.551
Relaxed,5,82000,404.123,29.1592
Relaxed,5,84000,404.737,30.7444
Relaxed,5,86000,401.908,24.9397
Relaxed,5,88000,402.761,31.5186
Relaxed,5,90000,408.661,29.6576
Relaxed,5,92000,412.165,32.3957
Relaxed,5,94000,412.628,29.5353
Relaxed,5,96000,410.587,29.7634
Relaxed,5,98000,413.926,26.8399
Relaxed,5,100000,415.045,28.4393
