Type, K, N, Mean, Variance
Squarish,6,2000,211.414,10.5677
Squarish,6,4000,255.404,12.7397
Squarish,6,6000,276.33,13.557
Squarish,6,8000,290.626,12.3441
Squarish,6,10000,304.928,12.7457
Squarish,6,12000,319.054,13.0005
Squarish,6,14000,324.654,13.7857
Squarish,6,16000,328.899,12.8127
Squarish,6,18000,337.668,13.5134
Squarish,6,20000,344.88,12.5177
Squarish,6,22000,349.736,11.4417
Squarish,6,24000,355.345,12.4653
Squarish,6,26000,361.966,12.6179
Squarish,6,28000,361.482,12.7516
Squarish,6,30000,366.262,13.1892
Squarish,6,32000,369.838,12.2535
Squarish,6,34000,373.445,11.4049
Squarish,6,36000,372.987,11.2748
Squarish,6,38000,380.372,11.0444
Squarish,6,40000,381.329,10.7398
Squarish,6,42000,384.333,11.0282
Squarish,6,44000,386.822,12.7898
Squarish,6,46000,390.57,11.6338
Squarish,6,48000,391.872,11.1354
Squarish,6,50000,392.932,10.7215
Squarish,6,52000,394.862,9.99726
Squarish,6,54000,395.498,10.7017
Squarish,6,56000,402.774,11.8536
Squarish,6,58000,402.426,11.5911
Squarish,6,60000,404.603,11.8431
Squarish,6,62000,404.9,10.5586
Squarish,6,64000,407.034,11.135
Squarish,6,66000,408.715,11.8837
Squarish,6,68000,411.34,10.8647
Squarish,6,70000,412.135,10.3096
Squarish,6,72000,413.923,11.0343
Squarish,6,74000,414.333,11.4546
Squarish,6,76000,417.396,11.5873
Squarish,6,78000,418.356,10.7511
Squarish,6,80000,415.856,10.3566
Squarish,6,82000,422.389,10.727
Squarish,6,84000,421.125,11.8607
Squarish,6,86000,425.369,12.6773
Squarish,6,88000,424.212,12.6564
Squarish,6,90000,424.244,9.99284
Squarish,6,92000,426.021,11.9394
Squarish,6,94000,428.617,10.7059
Squarish,6,96000,428.555,11.2298
Squarish,6,98000,430.071,11.5411
Squarish,6,100000,434.335,10.6447
