Type, K, N, Mean, Variance
Standard,6,2000,237.14,11.7767
Standard,6,4000,299.427,16.0839
Standard,6,6000,332.236,16.6932
Standard,6,8000,358.707,17.8204
Standard,6,10000,380.112,18.3932
Standard,6,12000,396.213,19.9254
Standard,6,14000,412.282,21.5728
Standard,6,16000,423.579,21.1082
Standard,6,18000,434.98,19.8285
Standard,6,20000,443.78,22.0876
Standard,6,22000,455.347,21.1731
Standard,6,24000,464.374,23.6869
Standard,6,26000,470.981,21.4812
Standard,6,28000,477.203,23.3391
Standard,6,30000,485.945,23.4813
Standard,6,32000,495.316,24.1688
Standard,6,34000,493.006,25.4758
Standard,6,36000,503.654,21.041
Standard,6,38000,510.879,24.7031
Standard,6,40000,517.64,22.9789
Standard,6,42000,518.465,22.9172
Standard,6,44000,522.821,26.9883
Standard,6,46000,530.417,22.1231
Standard,6,48000,537.499,23.8666
Standard,6,50000,534.544,26.9437
Standard,6,52000,539.801,26.5537
Standard,6,54000,546.483,23.072
Standard,6,56000,548.588,26.4898
Standard,6,58000,554.65,24.931
Standard,6,60000,556.97,23.9893
Standard,6,62000,561.454,22.0865
Standard,6,64000,561.295,24.3179
Standard,6,66000,566.995,22.8317
Standard,6,68000,563.968,25.509
Standard,6,70000,577.459,30.4647
Standard,6,72000,575.772,27.097
Standard,6,74000,574.865,26.4047
Standard,6,76000,583.619,28.7838
Standard,6,78000,587.586,28.7243
Standard,6,80000,585.88,28.8066
Standard,6,82000,589.053,31.313
Standard,6,84000,585.392,25.786
Standard,6,86000,588.496,28.0899
Standard,6,88000,597.459,32.2851
Standard,6,90000,599.542,28.2855
Standard,6,92000,600.115,24.7783
Standard,6,94000,600.022,27.9285
Standard,6,96000,605.623,25.7744
Standard,6,98000,604.908,27.1414
Standard,6,100000,603.634,27.8246
